Cartera,IMPORTE,Des_Estado,Nombre
CA04,15059,Cerrada,CONECTORES
CA05,15080,Cerrada,VALV INTEGRAL
CA03,15143,Cerrada,VA1/VAP/VHP
CA03,15181,Cerrada,VA1/VAP/VHP
CA03,15181,Cerrada,VA3
CA04,15216,Cerrada,VALV DE RETENCION
CA05,15229,Cerrada,MANIF 3 VIAS
CA06,15238,Cerrada,VALV DE RETENCION
CA03,15255,Cerrada,CONECTORES
CA06,15317,Cerrada,ACC PARA CAÑERIAS
CA06,15327,Cerrada,ACC PARA CAÑERIAS
CA06,15327,Cerrada,CONECTORES
CA03,15357,Cerrada,CONECTORES
CA03,15357,Cerrada,VA1/VAP/VHP
CA06,15445,Cerrada,ACC PARA CAÑERIAS
CA04,15521,Cerrada,ARTICULO ESPECIAL
CA05,15523,Cerrada,CONECTORES
CA03,15524,Cerrada,VA1/VAP/VHP
CA06,15571,Cerrada,ARTICULO ESPECIAL
CA03,15574,Cerrada,ACC PARA CAÑERIAS
CA03,15603,Cerrada,CONECTORES
CA03,15603,Cerrada,VA3
CA03,15603,Cerrada,VALV DE ALIVIO
CA03,15621,Cerrada,VALV DE ALIVIO
CA03,15622,Cerrada,Tapones Purgadores
CA04,15633,Cerrada,VALV DE ALIVIO
CA06,15656,Cerrada,REPUESTOS
CA06,15670,Cerrada,ACC PARA CAÑERIAS
CA04,15671,Cerrada,CONECTORES
CA06,15906,Cerrada,ACC PARA CAÑERIAS
CA04,15982,Cerrada,ACC PARA CAÑERIAS
CA04,15982,Cerrada,ACC. ALTA PRESION
CA03,15991,Cerrada,CONECTORES
CA03,16056,Cerrada,MANIF 2 VIAS
CA06,16108,Cerrada,CONECTORES
CA05,16170,Cerrada,VA3
CA04,16252,Cerrada,HERRAMIENTAS STD
CA04,16372,Cerrada,CONECTORES
CA04,16372,Cerrada,VA1/VAP/VHP
CA04,16423,Cerrada,ACC. ALTA PRESION
CA05,16475,Cerrada,VALV ESFERICAS  RVTA.
CA04,16476,Cerrada,VF2
CA06,16479,Cerrada,ACC PARA CAÑERIAS
CA06,16479,Cerrada,VALV DE RETENCION
CA03,16491,Cerrada,ACCESORIOS VARIOS
CA03,16491,Cerrada,CONECTORES
CA04,16516,Cerrada,CONECTORES
CA04,16528,Cerrada,CONECTORES
CA04,16528,Cerrada,VA2
CA06,16588,Cerrada,VALV DE ALIVIO
CA05,16619,Cerrada,VALV DE RETENCION
CA05,16698,Cerrada,VALV DE RETENCION
CA06,16745,Cerrada,ACC. ALTA PRESION
CA06,16745,Cerrada,CONECTORES
CA04,16821,Cerrada,VALV DE ALIVIO
CA99,16884,Cerrada,VA2
CA04,16944,Cerrada,ACC PARA CAÑERIAS
CA03,17063,Cerrada,Tapones Purgadores
CA06,17087,Cerrada,CONECTORES
CA04,17144,Cerrada,CONECTORES
CA05,17158,Cerrada,ARTICULO ESPECIAL
CA04,17163,Cerrada,VALV INTEGRAL
CA05,17189,Cerrada,VA3
CA04,17210,Cerrada,VA1/VAP/VHP
CA06,17251,Cerrada,ACC PARA CAÑERIAS
CA06,17251,Cerrada,VALV DE RETENCION
CA06,17251,Cerrada,VALV ESFERICAS  RVTA.
CA06,17297,Cerrada,ACC PARA CAÑERIAS
CA06,17297,Cerrada,CONECTORES
CA04,17331,Cerrada,TUBING
CA04,17336,Cerrada,VALV DE ALIVIO
CA04,17491,Cerrada,VALV INTEGRAL
CA04,17554,Cerrada,ACC. ALTA PRESION
CA04,17554,Cerrada,CONECTORES
CA04,17554,Cerrada,VA1/VAP/VHP
CA04,17727,Cerrada,CONECTORES
CA04,17727,Cerrada,VALV DE ALIVIO
CA04,17733,Cerrada,ACC PARA CAÑERIAS
CA04,17736,Cerrada,VTM
CA05,17770,Cerrada,VALV INTEGRAL
CA05,17779,Cerrada,VA2
CA06,17816,Cerrada,AMORTIGUADOR
CA06,17834,Cerrada,CONECTORES
CA06,17834,Cerrada,VF2
CA06,17847,Cerrada,VA3
CA06,17847,Cerrada,VALV DE ALIVIO
CA06,17847,Cerrada,VALV DE RETENCION
CA06,17847,Cerrada,VALV ESFERICAS  RVTA.
CA03,17892,Cerrada,ACC PARA CAÑERIAS
CA03,17892,Cerrada,VALV DE RETENCION
CA03,17892,Cerrada,VALV ESFERICAS  RVTA.
CA04,17901,Cerrada,ESF. ABAC 3 VIAS TRUNNION
CA04,17901,Cerrada,REPUESTOS
CA05,17956,Cerrada,VA1/VAP/VHP
CA05,17957,Cerrada,VALV ESFERICAS  RVTA.
CA04,18016,Cerrada,CONECTORES
CA04,18027,Cerrada,CONECTORES
CA06,18031,Cerrada,CONECTORES
CA06,18038,Cerrada,ACCESORIOS VARIOS
CA06,18121,Cerrada,ACC PARA CAÑERIAS
CA04,18177,Cerrada,CONECTORES
CA06,18311,Cerrada,REPUESTOS
CA05,18337,Cerrada,CONECTORES
CA06,18363,Cerrada,CONECTORES
CA06,18363,Cerrada,TUBING
CA06,18386,Cerrada,ACC PARA CAÑERIAS
CA03,18423,Cerrada,CONECTORES
CA06,18498,Cerrada,CONECTORES
CA06,18498,Cerrada,TUBING
CA04,18509,Cerrada,ACC PARA CAÑERIAS
CA04,18509,Cerrada,CONECTORES
CA04,18509,Cerrada,VALV DE RETENCION
CA05,18549,Cerrada,ESF. ABAC 2 VIAS
CA05,18564,Cerrada,VALV DE ALIVIO
CA05,18564,Cerrada,VALV DE RETENCION
CA04,18572,Cerrada,VALV DE RETENCION
CA04,18846,Cerrada,CONECTORES
CA04,18846,Cerrada,TUBING
CA05,18851,Cerrada,ACC PARA CAÑERIAS
CA03,18870,Cerrada,CONECTORES
CA04,18914,Cerrada,VA1/VAP/VHP
CA04,18914,Cerrada,VALV DE RETENCION
CA06,18944,Cerrada,VALV DE ALIVIO
CA05,18973,Cerrada,VALV DE RETENCION
CA06,19066,Cerrada,ACC. ALTA PRESION
CA06,19066,Cerrada,ARTICULO ESPECIAL
CA03,19095,Cerrada,ACCESORIOS VARIOS
CA03,19095,Cerrada,MANIF 3 VIAS
CA06,19101,Cerrada,TUBING
CA04,19132,Cerrada,CONECTORES
CA04,19132,Cerrada,TUBING
CA05,19138,Cerrada,CONECTORES
CA05,19138,Cerrada,SOPORTES PARA CAÑERIAS
CA05,19138,Cerrada,TUBING
CA06,19141,Cerrada,VALV DE ALIVIO
CA04,19167,Cerrada,VALV INTEGRAL
CA04,19207,Cerrada,VTM
CA05,19287,Cerrada,CONECTORES
CA05,19287,Cerrada,TUBING
CA03,19337,Cerrada,VALV INTEGRAL
CA06,19398,Cerrada,VALV DE ALIVIO
CA04,19435,Cerrada,CONECTORES
CA04,19435,Cerrada,VA1/VAP/VHP
CA06,19457,Cerrada,CONECTORES
CA06,19466,Cerrada,ACC PARA CAÑERIAS
CA06,19466,Cerrada,CONECTORES
CA06,19466,Cerrada,VALV DE ALIVIO
CA06,19508,Cerrada,CONECTORES
CA04,19548,Cerrada,CONECTORES
CA04,19548,Cerrada,MANIF 3 VIAS
CA04,19564,Cerrada,VA1/VAP/VHP
CA04,19871,Cerrada,VALV ESFERICAS  RVTA.
CA04,19871,Cerrada,VALV INTEGRAL
CA04,19973,Cerrada,REPUESTOS
CA04,20068,Cerrada,REPUESTOS
CA06,20092,Cerrada,ESF. ABAC 2 VIAS
